date,name,author,description,image
"August 21, 2022",THE 6:20 MAN,David Baldacci,"When his ex-girlfriend turns up dead in his office building, an entry-level investment analyst delves into the halls of economic power.",https://storage.googleapis.com/du-prd/books/images/9781538719848.jpg
"August 21, 2022",EVERY SUMMER AFTER,Carley Fortune,The love story of Percy and Sam is told over the course of six summers and one weekend.,https://storage.googleapis.com/du-prd/books/images/9780593438534.jpg
"August 21, 2022",BLACK DOG,Stuart Woods,The 62nd book in the Stone Barrington series. Stone meets a socialite with ties to a nefarious enemy.,https://storage.googleapis.com/du-prd/books/images/9780593540008.jpg
"August 21, 2022",ALL YOUR PERFECTS,Colleen Hoover,Quinn and Graham’s marriage depends on past promises.,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg
"August 21, 2022",BOOK LOVERS,Emily Henry,"While on vacation in North Carolina, a literary agent keeps running into an editor.",https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg
"August 21, 2022",PORTRAIT OF AN UNKNOWN WOMAN,Daniel Silva,The 22nd book in the Gabriel Allon series. Allon becomes an art forger to uncover a multibillion-dollar fraud.,https://storage.googleapis.com/du-prd/books/images/9780062834850.jpg
"August 21, 2022",CONFESS,Colleen Hoover,A young woman finds herself attracted to an artist with a secret.,https://storage.googleapis.com/du-prd/books/images/9781476791463.jpg
"August 21, 2022",THE SILENT PATIENT,Alex Michaelides,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg
"August 14, 2022",WHERE THE CRAWDADS SING,Delia Owens,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg
"August 14, 2022",IT ENDS WITH US,Colleen Hoover,A battered wife raised in a violent home attempts to halt the cycle of abuse.,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg
"August 14, 2022",VERITY,Colleen Hoover,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg
